Product ID,Product Name,Price,Discount,Rate,Category,Company,Product Page
20000,Honor هاتف هونر X6c ثنائي الشريحة 4G – سعة 256 جيجابايت، 6 جيجابايت RAM – لون أزرق محيطي,6099.0,10,4.1,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x6c-dual-sim-4g-smartphone-256gb-storage-6gb-ram-ocean-cyan-133130997.html
20001,"Honor PAD X7 8.7"" Inch ""Wifi Only"" 128GB/4GB - Gray",4299.0,12,4.7,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-pad-x7-8.7-inch-wifi-only-128gb4gb-gray-133618937.html
20002,Samsung Galaxy A36 Dual SIM 5G 256GB/8GB Mobile Phone - Awesome Lavender,15999.0,9,4.3,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/galaxy-a36-dual-sim-5g-256gb8gb-mobile-phone-awesome-lavender-samsung-mpg3861600.html
20003,Honor هاتف ذكي 400 ثنائي الشريحة 5G - 256 جيجابايت/12 جيجابايت - فضي نيزكي,19599.0,15,0.0,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-dual-sim-5g-smartphone-256gb12gb-meteor-silver-133832199.html
20004,Honor Velvet Black,8299.0,10,0.0,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x7d-dual-sim-4g-256gb8gb-velvet-black-133743987.html
20005,Honor 400 Lite Dual SIM 5G 256GB/8GB - Velvet Grey,12299.0,8,4.1,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-lite-dual-sim-5g-256gb8gb-velvet-grey-133618935.html
20006,Honor هاتف هونر X6c ثنائي الشريحة 4G – سعة 128 جيجابايت، 6 جيجابايت RAM – لون أوقيانوس سيان,5555.0,12,4.3,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x6c-dual-sim-4g-smartphone-128gb-storage-6gb-ram-ocean-cyan-133130994.html
20007,OPPO A5i ثنائي الشريحة 4G 128GB/4GB - بنفسجي نجمي,6380.0,9,0.0,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-a5i-dual-sim-4g-128gb4gb-starry-purple-133846653.html
20008,"Samsung موبايل جالاكسي A56 256GB، 12GB رام – 6.7""، 5G، awesome olive",22499.0,5,0.0,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-a56-256gb-12gb-ram-mobile-phone-6.7-5g-awesome-olive-132299740.html
20009,Honor هاتف ذكي 400 ثنائي الشريحة 5G - 256 جيجابايت/12 جيجابايت - أسود داكن,19599.0,15,0.0,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-400-dual-sim-5g-smartphone-256gb12gb-midnight-black-133832198.html
